hospital_name,last_updated_on,version,hospital_location,hospital_address,license_number|KS,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",,,,,,,,,,,,,,
Sheridan County Hospital,7/31/2025,2.0.0,Sheridan County Hospital,"826 18th Street, Suite B, HOXIE, KS, 67740|extra, 37374",H-009-001,TRUE,,,,,,,,,,,,,,
description,code|1,code|1|type,code|2,code|2|type,modifiers,drug_unit_of_measurement,drug_type_of_measurement,setting,standard_charge|gross,standard_charge|discounted_cash,payer_name,plan_name,standard_charge|methodology,standard_charge|negotiated_dollar,standard_charge|negotiated_percentage,standard_charge|negotiated_algorithm,estimated_amount,additional_generic_notes,standard_charge|min,standard_charge|max
ACUTE SEMI-PRIVATE ROOM CHARGE,120,RC,,,,,,inpatient,1569,1569,Blue Cross Blue Shield of KS,Default,Case Rate,180.2,,Reimbursement methodology  associated with this service is detailed out at: https://portal.kmap-state-ks.us/Documents/Provider/Bulletins/13059%20-%20Hospital%20-%20Inpatient%20DRG.pdf,,,180.2,1490.55
ACUTE SEMI-PRIVATE ROOM CHARGE,120,RC,,,,,,inpatient,1569,1569,Celtic Insurance,Default,Fee Schedule,,,,999999999,,180.2,1490.55
ACUTE SEMI-PRIVATE ROOM CHARGE,120,RC,,,,,,inpatient,1569,1569,United Healthcare,Default,Percent of Total Billed Charges,1490.55,,,,,180.2,1490.55
PULMONARY FUNCTION TEST,94010,HCPCS,460,RC,,,,both,583,583,Blue Cross Blue Shield of KS,Default,Fee Schedule,413.1,,,,,320.65,553.85
PULMONARY FUNCTION TEST,94010,HCPCS,460,RC,,,,both,583,583,Celtic Insurance,Default,Percent of Total Billed Charges,320.65,,,,,320.65,553.85
PULMONARY FUNCTION TEST,94010,HCPCS,460,RC,,,,both,583,583,United Healthcare,Default,Percent of Total Billed Charges,553.85,,,,,320.65,553.85
GASTROSTOMY TUBE REPLACE PERCU W/REMOVAL,43762,HCPCS,761,RC,,,,both,723,723,Blue Cross Blue Shield of KS,Default,Fee Schedule,634.89,,Reimbursement subject to multiple procedure reduction when applicable.,,,397.65,686.85
GASTROSTOMY TUBE REPLACE PERCU W/REMOVAL,43762,HCPCS,761,RC,,,,both,723,723,Celtic Insurance,Default,Percent of Total Billed Charges,397.65,,,,,397.65,686.85
GASTROSTOMY TUBE REPLACE PERCU W/REMOVAL,43762,HCPCS,761,RC,,,,both,723,723,United Healthcare,Default,Percent of Total Billed Charges,686.85,,,,,397.65,686.85
"PRO CLINIC VISIT NEW PATIENT LVL 2,Professional Component",99202,HCPCS,960,RC,26,,,both,131,131,Blue Cross Blue Shield of KS,Default,Fee Schedule,92.88,,,,,72.05,92.88
"PRO CLINIC VISIT NEW PATIENT LVL 2,Professional Component",99202,HCPCS,960,RC,26,,,both,131,131,Celtic Insurance,Default,Percent of Total Billed Charges,72.05,,,,,72.05,92.88
"PRO CLINIC VISIT NEW PATIENT LVL 2,Professional Component",99202,HCPCS,960,RC,26,,,both,131,131,United Healthcare,Default,Percent of Total Billed Charges,,,,999999999,,72.05,92.88
CLINIC VISIT LEVEL 2,99213,HCPCS,510,RC,,,,both,259,259,Blue Cross Blue Shield of KS,Default,Fee Schedule,183.22,,,,,142.45,246.05
CLINIC VISIT LEVEL 2,99213,HCPCS,510,RC,,,,both,259,259,Celtic Insurance,Default,Percent of Total Billed Charges,142.45,,,,,142.45,246.05
CLINIC VISIT LEVEL 2,99213,HCPCS,510,RC,,,,both,259,259,United Healthcare,Default,Percent of Total Billed Charges,246.05,,,,,142.45,246.05
CLINIC VISIT LEVEL 1,99212,HCPCS,510,RC,,,,both,166,166,Blue Cross Blue Shield of KS,Default,Fee Schedule,117.18,,,,,91.3,157.7
CLINIC VISIT LEVEL 1,99212,HCPCS,510,RC,,,,both,166,166,Celtic Insurance,Default,Percent of Total Billed Charges,91.3,,,,,91.3,157.7
CLINIC VISIT LEVEL 1,99212,HCPCS,510,RC,,,,both,166,166,United Healthcare,Default,Percent of Total Billed Charges,157.7,,,,,91.3,157.7
CLINIC VISIT LOW SEVERITY,99211,HCPCS,510,RC,,,,both,69,69,Blue Cross Blue Shield of KS,Default,Fee Schedule,58.33,,,,,37.95,65.55
CLINIC VISIT LOW SEVERITY,99211,HCPCS,510,RC,,,,both,69,69,Celtic Insurance,Default,Percent of Total Billed Charges,37.95,,,,,37.95,65.55
CLINIC VISIT LOW SEVERITY,99211,HCPCS,510,RC,,,,both,69,69,United Healthcare,Default,Percent of Total Billed Charges,65.55,,,,,37.95,65.55
CLINIC VISIT DETAILED,99214,HCPCS,510,RC,,,,both,362,362,Blue Cross Blue Shield of KS,Default,Fee Schedule,258.81,,,,,199.1,343.9
CLINIC VISIT DETAILED,99214,HCPCS,510,RC,,,,both,362,362,Celtic Insurance,Default,Percent of Total Billed Charges,199.1,,,,,199.1,343.9
CLINIC VISIT DETAILED,99214,HCPCS,510,RC,,,,both,362,362,United Healthcare,Default,Percent of Total Billed Charges,343.9,,,,,199.1,343.9
TELEHEALTH ORIGINATING SITE FACILITY FEE,Q3014,HCPCS,780,RC,,,,both,71,71,Blue Cross Blue Shield of KS,Default,Fee Schedule,52.68,,,,,39.05,67.45
TELEHEALTH ORIGINATING SITE FACILITY FEE,Q3014,HCPCS,780,RC,,,,both,71,71,Celtic Insurance,Default,Percent of Total Billed Charges,39.05,,,,,39.05,67.45



